listing_type	area	zone	project_name	price	bed	bath	size	furnishing	type	tenure	room_type	bath_type	anchors	image	wa_text
unit	Ampang	Taman Pertama	Nexus Taman Pertama	2900.0	3	2	1000	Partially Furnished	Service Residence				Taman Pertama MRT Station • Cheras Leisure Mall • SMK Taman Pertama • Pantai Hospital Cheras • Lotus's Taman Midah • MRR2		Hi Hani, I'm interested in the unit rental at Nexus Taman Pertama, Taman Pertama.
unit	Kajang	Kajang	Nexus @ Kajang Station	1900.0	4	2	1100	Unfurnished	Service Residence				MRT Kajang • AEON Kajang • UKM Bangi • Hospital Kajang • AEON Big Kajang • SILK		Hi Hani, I'm interested in the unit rental at Nexus @ Kajang Station, Kajang.
unit	Ampang	Jelatek	Neu Suites	1800.0	1	1	260	Fully Furnished	Studio				Ampang Park LRT • Suria KLCC • No • Gleneagles Hospital • Village Grocer KLCC • AKLEH		Hi Hani, I'm interested in the unit rental at Neu Suites, Jelatek.
unit	Ampang	Jelatek	Neu Suites	1500.0	0	1	300	Fully Furnished	Studio				Ampang Park LRT • Great Eastern Mall • HELP University • Gleneagles Hospital KL • Giant Ampang • AKLEH		Hi Hani, I'm interested in the unit rental at Neu Suites, Jelatek.
unit	Ampang	Jelatek	Neu Suites	2000.0	2	1	750	Fully Furnished	Condominium				LRT Jelatek • Great Eastern Mall • No • Ampang Puteri Specialist Hospital • Village Grocer Great Eastern Mall • AKLEH		Hi Hani, I'm interested in the unit rental at Neu Suites, Jelatek.
unit	Petaling Jaya	Damansara Perdana	Neo Damansara	1400.0	0	1	421	Fully Furnished	Studio						Hi Hani, I'm interested in the unit rental at Neo Damansara, Damansara Perdana.
unit	Puchong	Bandar 16 Sierra	N'Dira 16 Sierra	5000.0	7	4	2583	Fully Furnished	Townhouse				MRT 16 Sierra • Sierra Fresco • Rafflesia International School • Hospital Serdang • AEON Taman Equine • SKVE Highway		Hi Hani, I'm interested in the unit rental at N'Dira 16 Sierra, Bandar 16 Sierra.
unit	Shah Alam	Subang Murni	Nadayu 801	2100.0	3	2	951	Partially Furnished	Service Residence				No • Star Avenue Lifestyle Mall • No • Columbia Asia Hospital Ara Damansara • Mydin Subang Bestari • DASH Highway		Hi Hani, I'm interested in the unit rental at Nadayu 801, Subang Murni.
unit	Kepong	Metro Prima	Mutiara Magna	1100.0	3	2	650	Unfurnished	Apartment				Sekolah & Tadika, Klinik & Farmasi, Pasar Raya, Restoran		Hi Hani, I'm interested in the unit rental at Mutiara Magna, Metro Prima.
unit	Sungai Buloh	Bandar Baru Rawang	Mori Residence	2100.0	4	2	1076	Fully Furnished	Service Residence						Hi Hani, I'm interested in the unit rental at Mori Residence, Bandar Baru Rawang.
unit	Cheras	Taman Mutiara Barat	Monte Bayu	1700.0	3	2	830	Partially Furnished	Condominium				Taman Mutiara MRT • Cheras Leisure Mall • No • Hospital Canselor Tuanku Muhriz • AEON Big Cheras • SILK Highway		Hi Hani, I'm interested in the unit rental at Monte Bayu, Taman Mutiara Barat.
unit	Sentul	Sentul	Minest Residence	2100.0	3	2	822	Fully Furnished	Service Residence				LRT Sentul Timur • The Beam Sentul • SMK Sentul • Hospital Kuala Lumpur • Mydin Sentul • DUKE Highway		Hi Hani, I'm interested in the unit rental at Minest Residence, Sentul.
unit	Kuala Lumpur	Sentul	Minest Residence	2100.0	3	2	822	Fully Furnished	Service Residence				Ready move in; AC in living hall, master bedroom & bedroom 2		Hi Hani, I'm interested in the unit rental at Minest Residence, Sentul.
unit	Cheras	Sungai Besi	Midfields @ Sungai Besi	2200.0	3	2	1074	Fully Furnished	Condominium				Sungai Besi LRT • Mid Valley Megamall • No • Hospital Kuala Lumpur • No • BESRAYA		Hi Hani, I'm interested in the unit rental at Midfields @ Sungai Besi, Sungai Besi.
unit	Seri Kembangan	Putra Permai	Meta Residence	2700.0	3	2	864	Fully Furnished	Condominium				MRT Putra Permai • AEON Equine Park • No • No • Giant • MEX		Hi Hani, I'm interested in the unit rental at Meta Residence, Putra Permai.
unit	Seri Kembangan	Taman Equine	Meta City Residence	1950.0	1	1	450	Fully Furnished	Service Residence				MRT Taman Equine • AEON Equine Park • UPM • Hospital Serdang • AEON Equine Park • MEX		Hi Hani, I'm interested in the unit rental at Meta City Residence, Taman Equine.
unit	Seri Kembangan	Taman Equine	Meta City	1750.0	1	1	1000	Fully Furnished	Service Residence				MRT Putra Permai • IOI City Mall • UPM • Hospital Putrajaya • Giant Seri Kembangan • SKVE		Hi Hani, I'm interested in the unit rental at Meta City, Taman Equine.
unit	Nilai	Nilai	MesaHill	1200.0	2	1	650	Fully Furnished	Service Residence				KTM Nilai • Terminal Nilai • USIM / INTI International University • No • Mydin Nilai • LEKAS		Hi Hani, I'm interested in the unit rental at MesaHill, Nilai.
unit	Puncak Alam	Puncak Alam	Meranti Hillpark Puncak Alam 2-Storey Terrace	1900.0	4	3	1400	Partially Furnished	Landed				UITM Puncak Alam • Eco Grandeur • UITM Puncak Alam • Hospital UITM Puncak Alam • ECONSAVE Puncak Alam • LATAR Expressway		Hi Hani, I'm interested in the unit rental at Meranti Hillpark Puncak Alam 2-Storey Terrace, Puncak Alam.
unit	Petaling Jaya	Bandar Sunway	Mentari Court	1300.0	3	2	852	Unfurnished	Apartment				KTM Setia Jaya • Sunway Pyramid • Sunway University • Sunway Medical Centre • Giant Sunway Pyramid • Federal Highway		Hi Hani, I'm interested in the unit rental at Mentari Court, Bandar Sunway.
unit	Subang Jaya	Bandar Sunway	Mentari Court	1500.0	3	2	780	Fully Furnished	Apartment				KTM Setia Jaya • Sunway Pyramid • Taylor's College • Sunway Medical Centre • PLUS Highway		Hi Hani, I'm interested in the unit rental at Mentari Court, Bandar Sunway.
unit	Shah Alam	Seksyen 13	Menara U2	1900.0	2	1	500	Fully Furnished	Service Residence				LRT Seksyen 13 Shah Alam • AEON Mall Shah Alam • MSU (Management & Science University) • MSU Medical Centre • Tesco Shah Alam • Federal Highway		Hi Hani, I'm interested in the unit rental at Menara U2, Seksyen 13.
unit	Kuala Lumpur	Brickfields	Menara Pelangi	2000.0	3	2	900	Partially Furnished	Condominium				KL Sentral • Mid Valley Megamall • SMK Brickfields • Hospital Kuala Lumpur • Giant • Federal Highway		Hi Hani, I'm interested in the unit rental at Menara Pelangi, Brickfields.
unit	Kepong	Bandar Menjalara	Menara Menjalara	1800.0	4	2	1076	Unfurnished	Condominium				MRT Sri Damansara Sentral • Desa ParkCity Waterfront • INTI International University • ParkCity Medical Centre • Lotus's Kepong • MRR2		Hi Hani, I'm interested in the unit rental at Menara Menjalara, Bandar Menjalara.
unit	Ampang	Ampang Hilir	M-City	2500.0	1	1	1018	Fully Furnished	Service Residence				Ampang Point • Daily shops & eateries		Hi Hani, I'm interested in the unit rental at M-City, Ampang Hilir.
unit	Petaling Jaya	Ara Damansara	Maya Ara Residences	3000.0	2	2	764	Partially Furnished	Service Residence				LRT Ara Damansara (2.7km) • Citta Mall (2.5km) • SMK Ara Damansara • Columbia Asia Hospital Ara Damansara • Lotus's Subang • NKVE		Hi Hani, I'm interested in the unit rental at Maya Ara Residences, Ara Damansara.
unit	Sentul	Sentul	Maxim Citylights	1750.0	3	2	1009	Partially Furnished	Service Residence				Sentul LRT • Sunway Putra Mall • Hospital Kuala Lumpur • DUKE Highway		Hi Hani, I'm interested in the unit rental at Maxim Citylights, Sentul.
unit	Sentul	Sentul	Maxim Citylights	1750.0	3	2	1009	Partially Furnished	Service Residence				Sentul LRT • Sunway Putra Mall • Hospital Kuala Lumpur • DUKE Highway		Hi Hani, I'm interested in the unit rental at Maxim Citylights, Sentul.
unit	Kepong	Taman Mastiara	Mas Court	2000.0	3	2	1220	Fully Furnished	Townhouse				Near KTM Batu Kentonmen; cooking allowed; internet ready		Hi Hani, I'm interested in the unit rental at Mas Court, Taman Mastiara.
unit	Kuala Lumpur	Chow Kit	Majestic Residence	3500.0	1	1	469	Fully Furnished	Service Residence				Medan Tuanku Monorail Station • Quill City Mall • Universiti Kuala Lumpur (UniKL) • Hospital Kuala Lumpur (HKL) • No • AKLEH Highway		Hi Hani, I'm interested in the unit rental at Majestic Residence, Chow Kit.
unit	Ampang	Ampang Hilir	M Suites	3000.0	3	2	959	Fully Furnished	Service Residence				Swimming Pool • Wading Pool • Gymnasium • Sauna • Tennis Court • Squash Court • BBQ Area • Children's Playground • Multipurpose Hall • Landscaped Garden • 24-Hour Security		Hi Hani, I'm interested in the unit rental at M Suites, Ampang Hilir.
unit	Ampang	Ampang Hilir	M Suites	3000.0	2	2	959	Fully Furnished	Condominium				Jalan Ampang • MRR2 • SPE • DUKE Expressway • LRT Jelatek		Hi Hani, I'm interested in the unit rental at M Suites, Ampang Hilir.
unit	Bukit Jalil	Kuchai Lama	M Oscar	2000.0	2	2	700	Fully Furnished	Service Residence				MRT Taman Naga Emas • Mid Valley Megamall • APU • IMU Hospital • NSK Kuchai Lama • MEX Highway		Hi Hani, I'm interested in the unit rental at M Oscar, Kuchai Lama.
unit	Ampang	Ampang Hilir	M City @ Jalan Ampang	8000.0	4	5	1804	Fully Furnished	Service Residence				Ampang Park LRT Station • Great Eastern Mall • Sayfol International School • KPJ Ampang Puteri Specialist Hospital • No • DUKE Highway		Hi Hani, I'm interested in the unit rental at M City @ Jalan Ampang, Ampang Hilir.
unit	Ampang	Ampang Hilir	M City	1800.0	0	1	508	Fully Furnished	Studio				LRT Ampang Park • Great Eastern Mall • Alice Smith School • Gleneagles Hospital KL • Village Grocer Ampang • AKLEH		Hi Hani, I'm interested in the unit rental at M City, Ampang Hilir.
unit	Ampang	Ampang Hilir	M City	2300.0	1	1	678	Fully Furnished	Service Residence						Hi Hani, I'm interested in the unit rental at M City, Ampang Hilir.
unit	Ampang	Ampang Hilir	M City	3000.0	2	2	950	Fully Furnished	Service Residence				Ampang Park LRT • Great Eastern Mall • ISKL • Gleneagles Hospital KL • Village Grocer Intermark • AKLEH		Hi Hani, I'm interested in the unit rental at M City, Ampang Hilir.
unit	Sentul	Sentul	M Centura	1900.0	1	1	–	Fully Furnished	Condominium				KTM Sentul • Aeon Mall AU2 Setiawangsa • No • Hospital Kuala Lumpur • No • DUKE		Hi Hani, I'm interested in the unit rental at M Centura, Sentul.
unit	Kuala Lumpur	Sentul	LSH33 Sentul	1800.0	3	2	1000	Fully Furnished	Service Residence				KTM Sentul • Sunway Putra Mall • SMK Sentul • Hospital Kuala Lumpur • AEON Big Kepong • DUKE Highway		Hi Hani, I'm interested in the unit rental at LSH33 Sentul, Sentul.
unit	Kuala Lumpur	Kuchai Lama	Lily Apartment	1850.0	3	2	–	Partially Furnished	Apartment				Kuchai Lama MRT Station • Pearl Point Shopping Centre • No • Taman Desa Medical Centre • AEON Big Sri Petaling • NPE Highway		Hi Hani, I'm interested in the unit rental at Lily Apartment, Kuchai Lama.
unit	Shah Alam	Seksyen 13	Lifestyle Suites TTDI Sentralis	5500.0	0	2	1400	Unfurnished	SOHO				LRT Stadium Shah Alam • AEON Mall Shah Alam • MSU • MSU Medical Centre • Giant Stadium Shah Alam • Federal Highway		Hi Hani, I'm interested in the unit rental at Lifestyle Suites TTDI Sentralis, Seksyen 13.
unit	Ampang	Ukay Perdana	Liberty Arc @ Ampang Ukay	1600.0	1	1	450	Fully Furnished	Condominium						Hi Hani, I'm interested in the unit rental at Liberty Arc @ Ampang Ukay, Ukay Perdana.
unit	Ampang	Ukay Perdana	Liberty Arc	1650.0	0	1	450	Fully Furnished	Studio				Gleneagles Kuala Lumpur • AEON Big Ampang • Klinik Kesihatan Dato' Keramat • MRR2		Hi Hani, I'm interested in the unit rental at Liberty Arc, Ukay Perdana.
unit	Ampang	Ukay Perdana	Liberty Arc	6300.0	0	0	1675	Unfurnished	Commercial				Ampang Park LRT Station • Ampang Point Shopping Mall • No • KPJ Ampang Puteri Specialist Hospital • Lotus's Ampang • MRR2		Hi Hani, I'm interested in the unit rental at Liberty Arc, Ukay Perdana.
unit	Seri Kembangan	Lestari Perdana	Lestari Perdana 7	850.0	3	2	620	Unfurnished	Apartment				No • No • No • No • Giant Seri Kembangan • No		Hi Hani, I'm interested in the unit rental at Lestari Perdana 7, Lestari Perdana.
unit	Kuala Lumpur	Kampung Baru	Legasi Kampong Bharu KL Residensi	3000.0	3	2	950	Fully Furnished	Condominium				Kampung Baru LRT Station • Quill City Mall • Universiti Kuala Lumpur (UniKL) • Hospital Kuala Lumpur (HKL) • No • AKLEH Highway		Hi Hani, I'm interested in the unit rental at Legasi Kampong Bharu KL Residensi, Kampung Baru.
unit	Kuala Lumpur	Taman Melawati	Lea by the Hills	2300.0	3	2	1050	Unfurnished	Condominium				LRT Wangsa Maju • AEON Alpha Angle • TAR UMT • Columbia Asia Hospital Setapak • AEON Big Wangsa Maju • DUKE Highway		Hi Hani, I'm interested in the unit rental at Lea by the Hills, Taman Melawati.
unit	Puchong	Taman Putra Perdana	LBS Skylake Residence	1400.0	2	2	883	Partially Furnished	Service Residence				No • IOI Mall Puchong • MAHSA University • Columbia Asia Hospital Puchong • Giant Putra Perdana • ELITE		Hi Hani, I'm interested in the unit rental at LBS Skylake Residence, Taman Putra Perdana.
unit	Selayang	Selayang	Lakepark Residence	3000.0	4	2	1538	Fully Furnished	Condominium				Batu Caves KTM • Selayang Mall • No • Hospital Selayang • No • LATAR		Hi Hani, I'm interested in the unit rental at Lakepark Residence, Selayang.
unit	Cyberjaya	Cyber 11	Lakefront Homes	2000.0	3	2	1010	Fully Furnished	Apartment				University of Cyberjaya • Tamarind Square • Hospital Cyberjaya • Lotus's Dengkil • MEX Highway		Hi Hani, I'm interested in the unit rental at Lakefront Homes, Cyber 11.
unit	Cyberjaya	Cyber 11	Lakefront Homes	2100.0	3	2	1010	Fully Furnished	Condominium				MMU Cyberjaya • ELITE/SKVE		Hi Hani, I'm interested in the unit rental at Lakefront Homes, Cyber 11.
unit	Cyberjaya	Cyber 11	Lakefront Homes	1700.0	3	2	850	Partially Furnished	Condominium				Cyberjaya City Centre MRT • Dpulze Shopping Centre • Multimedia University (MMU) • Cyberjaya Hospital • - • MEX Highway		Hi Hani, I'm interested in the unit rental at Lakefront Homes, Cyber 11.
unit	Petaling Jaya	Bandar Sunway	Lagoon Perdana Apartment	1300.0	3	2	–	Partially Furnished	Apartment				Sunway Geo Avenue • Sunway Medical Centre • BRT Sunway Line • LDP Highway		Hi Hani, I'm interested in the unit rental at Lagoon Perdana Apartment, Bandar Sunway.
unit	Puchong	Puchong Perdana	La Thea Residences	1500.0	2	2	787	Partially Furnished	Service Residence				LRT IOI Puchong Jaya • IOI Mall Puchong • Rafflesia International School • Columbia Asia Hospital Puchong • Village Grocer • LDP		Hi Hani, I'm interested in the unit rental at La Thea Residences, Puchong Perdana.
unit	Puchong	Puchong Prima	KR7 Residences	1850.0	3	2	889	Partially Furnished	Condominium				MAHSA University & Hospital, Lotus’s Bukit Puchong, Puchong Prima LRT		Hi Hani, I'm interested in the unit rental at KR7 Residences, Puchong Prima.
unit	Petaling Jaya	Kota Damansara	Kota Damansara 2-Storey Terrace	2700.0	5	3	1800	Partially Furnished	Landed				Surian MRT Station • Encorp Strand Mall • SMK Kota Damansara • Thomson Hospital Kota Damansara • NSK Trade City Kota Damansara • DASH Highway		Hi Hani, I'm interested in the unit rental at Kota Damansara 2-Storey Terrace, Kota Damansara.
unit	Puchong	Puchong Perdana	Koi Tropika	2300.0	3	2	1020	Unfurnished	Condominium				IOI Puchong Jaya LRT Station • IOI Mall Puchong • No • Columbia Asia Hospital Puchong • Giant Puchong • LDP		Hi Hani, I'm interested in the unit rental at Koi Tropika, Puchong Perdana.
unit	Sepang	Cybersouth	Kita Bayu Cybersouth 2-Storey Terrace	2200.0	4	3	1447	Partially Furnished	Landed				KTM Salak Tinggi • No • No • No • No • MEX • ELITE		Hi Hani, I'm interested in the unit rental at Kita Bayu Cybersouth 2-Storey Terrace, Cybersouth.
unit	Puchong	Taman Putra Perdana	Kiambang Apartment	1800.0	3	2	790	Fully Furnished	Apartment				Putrajaya & Cyberjaya • AEON Big Puchong • – • – • Lotus's Puchong • ELITE Highway		Hi Hani, I'm interested in the unit rental at Kiambang Apartment, Taman Putra Perdana.
unit	Cyberjaya	Cyberjaya	Kewingston Business Centre	2600.0	0	1	1100	Fully Furnished	Commercial				Suitable for SME, agency, consultant, IT company & professional firm — as stated		Hi Hani, I'm interested in the unit rental at Kewingston Business Centre, Cyberjaya.
unit	Kepong	Kepong	Kepong Sentral Condominium	1350.0	3	2	962	Partially Furnished	Condominium				Near MRT / LRT / KTM Stations • Easy access to daily amenities and public transportation		Hi Hani, I'm interested in the unit rental at Kepong Sentral Condominium, Kepong.
unit	Cheras	Pudu	Kenanga Point	2000.0	3	–	900	Fully Furnished	Condominium				Hang Tuah MRT/LRT • Lalaport BBCC • No • Hospital Kuala Lumpur • No • SMART Tunnel		Hi Hani, I'm interested in the unit rental at Kenanga Point, Pudu.
unit	Petaling Jaya	Kelana Jaya	Kelana Puteri Condominium	1600.0	3	2	1055	Partially Furnished	Condominium				LRT Kelana Jaya • Paradigm Mall PJ • SEGi University Kota Damansara • Subang Jaya Medical Centre • Giant Kelana Jaya • LDP		Hi Hani, I'm interested in the unit rental at Kelana Puteri Condominium, Kelana Jaya.
unit	Klang	Bandar Botanic	Kasuarina Apartment	1100.0	3	2	950	Partially Furnished	Apartment				Near KTM Teluk Pulai; schools nearby; Bandar Botanic township amenities		Hi Hani, I'm interested in the unit rental at Kasuarina Apartment, Bandar Botanic.
unit	Kajang	Semenyih	Kaseh Heights 3-Storey Terrace	2400.0	5	4	2708	Fully Furnished	Landed				Guarded Residential Area • Children's Playground • Jogging Track • Landscaped Green Areas • Community Park		Hi Hani, I'm interested in the unit rental at Kaseh Heights 3-Storey Terrace, Semenyih.
unit	Kajang	Sungai Long	Kajang 2-Storey Terrace	1800.0	3	2	2200	Partially Furnished	Landed				Aircond (all rooms) • MRT Bukit Dukung • UTAR Sungai Long • Bandar Mahkota Cheras access • Sungai Long access		Hi Hani, I'm interested in the unit rental at Kajang 2-Storey Terrace, Sungai Long.
unit	Seri Kembangan	Balakong	Juta Mines	1300.0	3	2	960	Fully Furnished	Condominium				KTM Serdang Station • The Mines Shopping Mall • UPM • Columbia Asia Hospital • Giant Seri Kembangan • SILK Highway		Hi Hani, I'm interested in the unit rental at Juta Mines, Balakong.
unit	Sungai Buloh	Bandar Seri Coalfields	Jardin Residence 2-Storey Terrace	2500.0	4	3	1961	Unfurnished	Landed				KIPMall Desa Coalfields • UiTM Hospital • SK Saujana Utama • Guthrie Corridor Expressway		Hi Hani, I'm interested in the unit rental at Jardin Residence 2-Storey Terrace, Bandar Seri Coalfields.
unit	Shah Alam	i-City	i-Suite @ i-City	1800.0	2	1	599	Fully Furnished	Service Residence				KTM Padang Jawa • Central i-City Mall • UiTM Shah Alam • Hospital Shah Alam • AEON Bukit Raja • Federal Highway		Hi Hani, I'm interested in the unit rental at i-Suite @ i-City, i-City.
unit	Shah Alam	i-City	i-Suite	1600.0	2	1	577	Fully Furnished	Service Residence				KTM Padang Jawa • i-City Mall • UITM Shah Alam • Hospital Shah Alam • NSK Trade City • NKVE		Hi Hani, I'm interested in the unit rental at i-Suite, i-City.
unit	Shah Alam	i-City	i-Suite	1600.0	2	1	577	Fully Furnished	Service Residence				KTM Padang Jawa • Central i-City Mall • UiTM Shah Alam • Hospital Shah Alam • NSK Grocer • NKVE		Hi Hani, I'm interested in the unit rental at i-Suite, i-City.
unit	Shah Alam	i-City	I-SOHO @ I-City	1500.0	1	1	467	Fully Furnished	SOHO				Central i-City Mall • UiTM Shah Alam • Columbia Asia Hospital Shah Alam • AEON Big I-City • Federal Highway		Hi Hani, I'm interested in the unit rental at I-SOHO @ I-City, i-City.
unit	Shah Alam	i-City	I-Residence	1750.0	2	1	754	Partially Furnished	Service Residence				Shah Alam KTM • Central i-City Mall • MSU (Management & Science University) • Hospital Shah Alam • AEON Big Shah Alam • Federal Highway		Hi Hani, I'm interested in the unit rental at I-Residence, i-City.
unit	Ampang	Ampang	Impiana On The Waterfront Condominium	9000.0	4	5	3530	Fully Furnished	Condominium				Ampang Park LRT • The Elements @ Ampang • No • Ampang Puteri Specialist Hospital • No • AKLEH		Hi Hani, I'm interested in the unit rental at Impiana On The Waterfront Condominium, Ampang.
unit	Sepang	Cybersouth	Idaman Melur	1600.0	3	3	1022	Partially Furnished	Service Residence				No • No • No • No • No • ELITE		Hi Hani, I'm interested in the unit rental at Idaman Melur, Cybersouth.
unit	Shah Alam	U12	Idaman Cahaya 2	1700.0	3	3	1022	Partially Furnished	Apartment				Setia City Mall • UNISEL Shah Alam • Hospital Shah Alam • NKVE		Hi Hani, I'm interested in the unit rental at Idaman Cahaya 2, U12.
unit	Shah Alam	U12	Idaman Cahaya	1600.0	3	3	1022	Partially Furnished	Apartment				No • AEON Shah Alam • UiTM Shah Alam • Columbia Asia Hospital Shah Alam • Lotus's Setia Alam • NKVE		Hi Hani, I'm interested in the unit rental at Idaman Cahaya, U12.
unit	Shah Alam	Seksyen 7	I-City I-Residence	1750.0	2	1	754	Partially Furnished	Condominium				Shah Alam KTM • i-City Mall • UiTM Shah Alam • Hospital Shah Alam • Giant Shah Alam • NKVE		Hi Hani, I'm interested in the unit rental at I-City I-Residence, Seksyen 7.
unit	Shah Alam	Setia Alam	Huni Residence	2200.0	3	2	1000	Fully Furnished	Service Residence				KTM Padang Jawa • Setia City Mall • Tenby Schools Setia Eco Park • Columbia Asia Hospital Shah Alam • Lotus's Setia Alam • GCE		Hi Hani, I'm interested in the unit rental at Huni Residence, Setia Alam.
unit	Shah Alam	Setia Alam	Huni @ Eco Ardence	2200.0	3	2	1000	Fully Furnished	Service Residence				Setia City Mall • Tenby International School Setia Eco Park • Lotus's Setia Alam • DASH Highway		Hi Hani, I'm interested in the unit rental at Huni @ Eco Ardence, Setia Alam.
unit	Sepang	Sepang	Horizon Suites	1650.0	2	2	650	Fully Furnished	Service Residence				No • No • Xiamen University Malaysia • No • No • MEX Highway		Hi Hani, I'm interested in the unit rental at Horizon Suites, Sepang.
unit	Sepang	Sepang	Horizon Suites	1500.0	2	1	500	Fully Furnished	Service Residence				KTM Dengkil • Nilai University • Klinik Kesihatan Dengkil • ECONSAVE Dengkil • ELITE Highway		Hi Hani, I'm interested in the unit rental at Horizon Suites, Sepang.
unit	Puncak Alam	Bandar Saujana Utama	Hillpark Jalan Hillpark Niaga Shoplot	6800.0	–	–	3000	Unfurnished	Shop				Puncak Alam Hospital • UiTM Puncak Alam • Econsave Puncak Alam • LATAR Highway		Hi Hani, I'm interested in the unit rental at Hillpark Jalan Hillpark Niaga Shoplot, Bandar Saujana Utama.
unit	Kajang	Hillpark	Hillpark 2 2-Storey Terrace	1500.0	4	3	1400	Unfurnished	Landed						Hi Hani, I'm interested in the unit rental at Hillpark 2 2-Storey Terrace, Hillpark.
unit	Petaling Jaya	Kelana Jaya	High Park Suites	2500.0	1	1	650	Fully Furnished	Studio				24-Hour Security with Access Card • Swimming Pool • Gymnasium • Multipurpose Hall • BBQ Area • Jogging Track • Playground • Surau • Landscaped Garden		Hi Hani, I'm interested in the unit rental at High Park Suites, Kelana Jaya.
unit	Setapak	Setapak	Heritage Condominium	2500.0	3	2	1240	Fully Furnished	Condominium				LRT Wangsa Maju • KL East Mall • TARUC • Tawakal Hospital • AEON Wangsa Maju • DUKE Highway		Hi Hani, I'm interested in the unit rental at Heritage Condominium, Setapak.
unit	Kuala Lumpur	Wangsa Maju	Henna Residence @ The Quartz	2500.0	3	2	850	Fully Furnished	Service Residence				Sri Rampai LRT Station • Wangsa Walk Mall • No • Columbia Asia Hospital Setapak • AEON Big Wangsa Maju • DUKE Highway		Hi Hani, I'm interested in the unit rental at Henna Residence @ The Quartz, Wangsa Maju.
unit	Kuala Lumpur	Wangsa Maju	Henna Residence @ The Quartz	2500.0	3	2	850	Fully Furnished	Condominium				LRT Wangsa Maju • Wangsa Walk Mall • UIAM Gombak • KPJ Ampang Puteri Specialist Hospital • AEON Big Wangsa Maju • MRR2		Hi Hani, I'm interested in the unit rental at Henna Residence @ The Quartz, Wangsa Maju.
unit	Kajang	Eco Majestic	Harmoni @ Eco Majestic	1250.0	3	2	900	Fully Furnished	Apartment				Jaya Grocer Eco Majestic • EcoHill Walk • Lotus's • SK Bandar Rinching • SMJK Yu Hua		Hi Hani, I'm interested in the unit rental at Harmoni @ Eco Majestic, Eco Majestic.
unit	Shah Alam	Setia Alam	HANA Residence @ Eco Ardence	2450.0	3	2	900	Fully Furnished	Service Residence				KTM Padang Jawa • Setia City Mall • SMK Setia Alam • Columbia Asia Hospital Shah Alam • Giant Setia Alam • NKVE		Hi Hani, I'm interested in the unit rental at HANA Residence @ Eco Ardence, Setia Alam.
unit	Puncak Alam	Bandar Puncak Alam	Halya 2 @ Daunan 2-Storey Terrace	2500.0	4	3		Fully Furnished	Landed				UiTM Puncak Alam Columbia Asia Hospital Shah Alam 		Hi Hani, I'm interested in the unit rental at Halya 2 @ Daunan 2-Storey Terrace, Bandar Puncak Alam.
unit	Kuala Lumpur	Keramat	Gurney Heights	1800.0	3	1	890	Fully Furnished	Condominium				Dato Keramat LRT Station • Great Eastern Mall • No • Hospital Ampang • Village Grocer The Intermark • AKLEH		Hi Hani, I'm interested in the unit rental at Gurney Heights, Keramat.
unit	Sepang	Salak Perdana	Greenwood Seraya	1800.0	4	3	1291	Partially Furnished	Townhouse				ERL Salak Tinggi • Hospital Putrajaya • AEON Big Putrajaya • ELITE		Hi Hani, I'm interested in the unit rental at Greenwood Seraya, Salak Perdana.
unit	Selayang	Batu Caves	Greenwood Batu Caves 1-Storey Terrace	2200.0	3	2	1600	Partially Furnished	Landed				KTM Batu Caves • No • No • Hospital Selayang • Giant Batu Caves • DUKE Highway		Hi Hani, I'm interested in the unit rental at Greenwood Batu Caves 1-Storey Terrace, Batu Caves.
unit	Seri Kembangan	Seri Kembangan	Green Park Residence	1550.0	3	2	854	Fully Furnished	Condominium				No • IOI City Mall • UPM • Hospital Putrajaya • No • SKVE		Hi Hani, I'm interested in the unit rental at Green Park Residence, Seri Kembangan.
unit	Subang Jaya	USJ	Goodyear Court 5	1500.0	3	2	750	Unfurnished	Apartment				LRT Taipan • Empire Shopping Gallery • Sunway University • Sunway Medical Centre • Giant USJ • KESAS		Hi Hani, I'm interested in the unit rental at Goodyear Court 5, USJ.
unit	Subang Jaya	USJ 8	Goodyear Court 5	1400.0	3	1	730	Unfurnished	Apartment				LRT Taipan (Kelana Jaya Line) • LRT USJ 7 (Kelana Jaya Line) • NKVE • KESAS		Hi Hani, I'm interested in the unit rental at Goodyear Court 5, USJ 8.
unit	Cyberjaya	IOI Resort City	Gems Residences	3500.0	3	2	969	Fully Furnished	Service Residence				Putrajaya Sentral ERL Station • IOI City Mall Putrajaya • Nexus International School • Hospital Serdang • Lotus's IOI City Mall • SILK Highway		Hi Hani, I'm interested in the unit rental at Gems Residences, IOI Resort City.
unit	Shah Alam	Bukit Rimau	Gaya Resort Homes	1650.0	2	2	751	Partially Furnished	Service Residence				AEON BiG Bukit Rimau • Columbia Asia Hospital Bukit Rimau • KESAS Highway		Hi Hani, I'm interested in the unit rental at Gaya Resort Homes, Bukit Rimau.
unit	Kuala Lumpur	Bangsar	Gaya Bangsar	4500.0	2	2	1200	Fully Furnished	Condominium				LRT Bangsar • Mid Valley Megamall • University of Malaya • UMMC • Village Grocer Mid Valley • Sprint Highway		Hi Hani, I'm interested in the unit rental at Gaya Bangsar, Bangsar.
unit	Kuala Lumpur	Taman Melawati	Gaya Apartment	5000.0	0	0	1875	Partially Furnished	Commercial				No • Melawati Mall • No • No • Hero Mart • DUKE Highway		Hi Hani, I'm interested in the unit rental at Gaya Apartment, Taman Melawati.
