Project,Area,Zone,Type,Bed,Bath,Size (sqft),Tenure,Price (RM),Installment (RM/mo),Rental Unfurnished,CF Unfurnished,Rental Partial,CF Partial,Rental Fully,CF Fully,Yield% Partial,Yield% Fully,CF Rating (Best Case),Cash Out (RM),Break-even Unfurnished (Year),Break-even Partial (Year),Break-even Fully (Year),5yr ROI%,10yr ROI%,20yr ROI%,Ann.Ret% 5yr,Ann.Ret% 10yr,Ann.Ret% 20yr,Exit Value 10yr (RM),Equity 10yr (RM),Equity Gain 10yr (RM),Cumulative CF Unfurnished 10yr (RM),Cumulative CF Partial 10yr (RM),Cumulative CF Fully 10yr (RM),Selling Cost 10yr (RM),Equity Gain 10yr Net of Selling Cost (RM),Rental Source,Date Added,Code,Source Link
Pangsapuri Palma,Klang,Bandar Botanic,Apartment,3,2.0,650,Freehold,210000,958,750,-208,850,-108,1650,692,4.86,9.43,🟢 Strong,42300,18,13,4,40.9,147.5,419.6,8.2,14.7,21.0,255989,104675,62375,-24960,-12960,83040,11550,50825,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.34/sqft, n=6) | Klang | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1000.0->750 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",23/4/2025,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1192
Pangsapuri Kita Ria,Dengkil,Cybersouth,Service Residence,3,2.0,901,Leasehold,298000,1359,1400,41,1600,241,2300,941,6.44,9.26,🟢 Strong,53740,8,6,4,57.3,176.3,480.0,11.5,17.6,24.0,363260,148471,94731,4920,28920,112920,15133,79598,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide",10/7/2026,EXP,https://telegram.me/extremeproperty_listing/19610
1 Razak Mansion Condominium,Kuala Lumpur,Salak Selatan,Condominium,3,2.0,807,Leasehold,320000,1459,1500,41,1600,141,2400,941,6,9,🟢 Strong,56600,8,7,4,60.3,181.6,491.2,12.1,18.2,24.6,390078,159382,102782,4920,16920,112920,16029,86753,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",15/6/2026,EXP,https://telegram.me/extremeproperty_listing/18717
1 Storey Terrace Taman Telok,Klang,Telok Panglima Garang,1 Storey Terrace,4,2.0,1500,Freehold,378000,1724,1750,26,1900,176,2100,376,6.03,6.67,🟢 Strong,64140,5,4,4,116.5,306.6,813.5,23.3,30.7,40.7,533206,260781,196641,3120,21120,45120,20809,175832,"[Unfurnished] Area PSF Avg, Landed >=1500sqft (RM1.15/sqft, n=3) | Klang | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",10/4/2026,EXP,https://telegram.me/extremeproperty_listing/16437
Flora Damansara,Petaling Jaya / Damansara,Sungai Buloh / Kota Damansara,Apartment,3,2.0,850,Leasehold,280000,1277,1300,23,1700,423,3050,1773,7.29,13.07,🟢 Strong,51400,9,5,2,54.5,171.4,469.9,10.9,17.1,23.5,341318,139516,88116,2760,50760,212760,14400,73716,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=11) | Petaling Jaya / Damansara | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",12/7/2026,ZYP,https://telegram.me/zikriyussofperundinghartanah/1006
Pangsapuri Sri Alpinia,Puchong,Puchong,Apartment,3,2.0,780,Freehold,270000,1231,1000,-231,1150,-81,1750,519,5.11,7.78,🟢 Strong,50100,15,11,5,52.8,168.4,463.5,10.6,16.8,23.2,329128,134474,84374,-27720,-9720,62280,13993,70381,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.61/sqft, n=3) | Puchong | [Partial] Area PSF Avg, Strata all sizes (RM1.48/sqft, n=15) | Puchong | [Fully] Area PSF Avg, Strata all sizes (RM2.22/sqft, n=12) | Puchong | CORRECTED (audit 19/07/2026): Unfurnished 1250.0->1000 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/801
Rampai Court,Kuala Lumpur,Wangsa Maju (Taman Sri Rampai),Apartment,2,1.0,650,Freehold,260000,1186,1200,14,1300,114,1950,764,6,9,🟢 Strong,48800,9,8,4,51.2,165.5,457.5,10.2,16.6,22.9,316939,129583,80783,1680,13680,91680,13586,67197,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18297
One Damansara Condominium,Petaling Jaya / Damansara,Damansara Damai,Condominium,3,2.0,1100,Leasehold,370000,1687,1700,13,1900,213,3950,2263,6.16,12.81,🟢 Strong,63100,8,7,2,66.3,192.1,513.1,13.3,19.2,25.7,451028,184290,121190,1560,25560,271560,18064,103126,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Zone PSF Avg, Strata all sizes (RM1.73/sqft, n=3) | Damansara Damai | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10195
Vista Komanwel C Condo,Bukit Jalil,Bukit Jalil,Condominium,4,2.0,1400,Freehold,480000,2189,2200,11,2200,11,3350,1161,5.5,8.38,🟢 Strong,77400,8,8,4,75.9,209.0,548.7,15.2,20.9,27.4,585117,239149,161749,1320,1320,139320,22543,139206,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.56/sqft, n=3) | Bukit Jalil | [Fully] Area PSF Avg, Strata all sizes (RM2.38/sqft, n=3) | Bukit Jalil",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11751
Teratai Mewah,Setapak,"Taman P. Ramlee, Setapak",Apartment,3,1.0,725,Freehold,250000,1140,1150,10,1550,410,1600,460,7.44,7.68,🟢 Strong,47500,9,5,5,49.3,162.2,450.5,9.9,16.2,22.5,304749,124541,77041,1200,49200,55200,13179,63862,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.11/sqft, n=6) | Setapak | [Fully] Area PSF Avg, Strata all sizes (RM2.24/sqft, n=5) | Setapak",18/5/2026,EXP,https://telegram.me/extremeproperty_listing/17634
2 Storey Terrace Taman Pinggiran Senawang,Nilai,Senawang,2 Storey Terrace,4,3.0,1400,Freehold,350000,1596,1600,4,1850,254,1950,354,6.34,6.69,🟢 Strong,60500,5,4,4,112.5,299.0,796.5,22.5,29.9,39.8,493710,241419,180919,480,30480,42480,19490,161429,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17982
Sri Pinang Villa Apartment,Ampang,Taman Cempaka,Apartment,3,2.0,1344,Leasehold,460000,2098,2100,2,3150,1052,4450,2352,8.22,11.61,🟢 Strong,74800,8,4,2,74.5,206.4,543.4,14.9,20.6,27.2,560737,229216,154416,240,126240,282240,21729,132687,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10442
Ken Rimba,Shah Alam,Seksyen 16 / Ken Rimba,Condominium,3,2.0,1119,Freehold,450000,2052,1650,-402,1900,-152,3000,948,5.07,8,🟢 Strong,73500,14,10,4,73.7,205.0,540.3,14.7,20.5,27.0,548547,224174,150674,-48240,-18240,113760,21321,129353,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.83/sqft, n=6) | Shah Alam | [Partial] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=21) | Shah Alam | [Fully] Area PSF Avg, Strata all sizes (RM2.66/sqft, n=18) | Shah Alam | CORRECTED (audit 19/07/2026): Unfurnished 2050.0->1650 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",2/5/2025,REG,https://telegram.me/ListingPropertyByRegera/4075
Pangsapuri Ukay Indah,Ampang,Ukay Perdana,Apartment,3,2.0,650,Leasehold,220000,1003,1000,-3,1550,547,2150,1147,8.45,11.73,🟢 Strong,43600,10,4,3,43.1,151.3,427.6,8.6,15.1,21.4,268179,109566,65966,-360,65640,137640,11957,54009,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",21/6/2026,EXP,https://telegram.me/extremeproperty_listing/17190
Taman Bakti,Ampang,Pandan Indah,Flat,2,1.0,450,Leasehold,155000,707,700,-7,1050,343,1500,793,8.13,11.61,🟢 Strong,35150,11,5,3,25.1,119.8,361.4,5.0,12.0,18.1,188944,77246,42096,-840,41160,95160,9311,32785,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",8/6/2026,EXP,https://telegram.me/extremeproperty_listing/18197
Kita Impian Apartment @ Cybersouth,Sepang,Cybersouth,Apartment,3,2.0,901,Leasehold,310000,1414,1400,-14,1600,186,2000,586,6.19,7.74,🟢 Strong,55300,9,7,5,59.1,179.4,486.6,11.8,17.9,24.3,377888,154491,99191,-1680,22320,70320,15621,83570,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM2.21/sqft, n=7) | Sepang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10530
Flat Sri Langkawi,Kuala Lumpur,Taman Melati,Flat,2,1.0,592,Leasehold,245000,1117,1100,-17,1200,83,1800,683,5.88,8.82,🟢 Strong,46850,10,8,4,48.3,160.4,446.8,9.7,16.0,22.3,298654,122020,75170,-2040,9960,81960,12975,62195,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",24/6/2026,EXP,https://telegram.me/extremeproperty_listing/19071
Casa Dahlia Apartment,Sepang,KLIA / Bandar Baru Salak Tinggi,Apartment,3,2.0,853,Freehold,300000,1368,1350,-18,1500,132,1900,532,6,7.6,🟢 Strong,54000,9,7,5,57.6,176.8,481.0,11.5,17.7,24.1,365698,149449,95449,-2160,15840,63840,15214,80235,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Citywide PSF Avg, Strata all sizes (RM1.76/sqft, n=156) | Citywide | [Fully] Area PSF Avg, Strata all sizes (RM2.21/sqft, n=7) | Sepang",12/7/2026,ZYP,https://telegram.me/zikriyussofperundinghartanah/1051
D'Cassia Apartment,Kajang,Setia EcoHill,Apartment,3,2.0,850,Freehold,300000,1368,1050,-318,1200,-168,1450,82,4.8,5.8,🟡 Neutral,54000,17,12,8,57.6,176.8,481.0,11.5,17.7,24.1,365698,149449,95449,-38160,-20160,9840,15214,80235,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.57/sqft, n=8) | Kajang | [Partial] Area PSF Avg, Strata all sizes (RM1.40/sqft, n=21) | Kajang | [Fully] Area PSF Avg, Strata all sizes (RM1.69/sqft, n=13) | Kajang | CORRECTED (audit 19/07/2026): Unfurnished 1350.0->1050 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/9988
Indah Condominium,Petaling Jaya / Damansara,Prima Damansara,Condominium,3,2.0,872,Leasehold,300000,1368,1350,-18,1750,382,3150,1782,7,12.6,🟢 Strong,54000,9,5,2,57.6,176.8,481.0,11.5,17.7,24.1,365698,149449,95449,-2160,45840,213840,15214,80235,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=11) | Petaling Jaya / Damansara | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/742
Apartment Permai Putera,Ampang,Ampang Point,Apartment,3,,1020,Leasehold,355000,1619,1600,-19,2400,781,3400,1781,8.11,11.49,🟢 Strong,61150,9,4,3,64.7,189.3,507.3,12.9,18.9,25.4,432743,176879,115729,-2280,93720,213720,17454,98275,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",30/6/2026,EXP,https://telegram.me/extremeproperty_listing/19272
i-Soho @ i-City,Shah Alam,i-City,Studio,1,1.0,464,Freehold,290000,1322,1300,-22,1400,78,1700,378,5.79,7.03,🟢 Strong,52700,9,8,5,56.0,174.0,475.2,11.2,17.4,23.8,353508,144407,91707,-2640,9360,45360,14807,76900,[Fully] Exact - 2 listing(s) | I-SOHO @ I-City | [Partial] Est. from Fully; [Unfurnished] Est. from Fully,12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/483
PRIMA Lakefront Homes,Cyberjaya / Putrajaya,Cyberjaya,Apartment,3,2.0,850,Freehold,335000,1528,1500,-28,1700,172,2000,472,6.09,7.16,🟢 Strong,58550,9,7,5,62.3,185.1,498.7,12.5,18.5,24.9,408363,166945,108395,-3360,20640,56640,16639,91756,[Partial] Fuzzy - 1 listing(s) | Lakefront Homes | [Fully] Fuzzy - 3 listing(s) | Lakefront Homes | [Unfurnished] Est. from Partial,12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/379
Pangsapuri Berembang Indah,Ampang,Ampang,Apartment,3,2.0,650,Leasehold,227000,1035,1000,-35,1550,515,1800,765,8.19,9.52,🟢 Strong,44510,10,5,4,44.6,154.0,433.3,8.9,15.4,21.7,276712,113065,68555,-4200,61800,91800,12242,56313,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Zone PSF Avg, Strata all sizes (RM2.80/sqft, n=3) | Ampang",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/553
Vista Bayu Apartment,Klang,Bayu Perdana,Apartment,3,2.0,968,Freehold,338000,1541,1150,-391,1300,-241,2450,909,4.62,8.7,🟢 Strong,58940,18,13,4,62.6,185.6,499.6,12.5,18.6,25.0,412020,168337,109397,-46920,-28920,109080,16761,92636,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.34/sqft, n=6) | Klang | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1500.0->1150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/577
1 Storey Terrace Iringan Bayu Semaya,Nilai,Taman Iringan Bayu,1 Storey Terrace,3,2.0,1400,Freehold,360000,1642,1600,-42,1850,208,1950,308,6.17,6.5,🟢 Strong,61800,5,4,4,114.0,301.9,803.0,22.8,30.2,40.1,507816,248377,186577,-5040,24960,36960,19961,166616,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",25/5/2026,EXP,https://telegram.me/extremeproperty_listing/17966
Apartment Bayu,Petaling Jaya / Damansara,Damansara Damai,Apartment,3,2.0,850,Leasehold,295000,1345,1300,-45,1450,105,3050,1705,5.9,12.41,🟢 Strong,53350,10,8,3,56.8,175.4,478.2,11.4,17.5,23.9,359603,146928,93578,-5400,12600,204600,15011,78567,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Zone PSF Avg, Strata all sizes (RM1.73/sqft, n=3) | Damansara Damai | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",7/7/2026,EXP,https://telegram.me/extremeproperty_listing/19495
Apartment Idaman,Petaling Jaya / Damansara,Damansara Damai,Apartment,3,1.0,650,Freehold,230000,1049,1000,-49,1150,101,2350,1301,6,12.26,🟢 Strong,44900,11,8,3,45.3,155.3,435.9,9.1,15.5,21.8,280369,114608,69708,-5880,12120,156120,12364,57344,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.53/sqft, n=5) | Petaling Jaya / Damansara | [Partial] Zone PSF Avg, Strata all sizes (RM1.73/sqft, n=3) | Damansara Damai | [Fully] Area PSF Avg, Strata all sizes (RM3.59/sqft, n=10) | Petaling Jaya / Damansara",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/910
Flat Wangsa Maju Seksyen 1,Kuala Lumpur,Wangsa Maju,Flat,2,1.0,550,Leasehold (Bumi Lot),230000,1049,1000,-49,1100,51,1600,551,5.74,8.35,🟢 Strong,44900,11,9,4,45.3,155.3,435.9,9.1,15.5,21.8,280369,114608,69708,-5880,6120,66120,12364,57344,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM2.94/sqft, n=11) | Wangsa Maju",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18392
Pangsapuri Sri Inai,Kuala Lumpur,Pandan Indah,Apartment,3,1.0,673,Leasehold,285000,1300,1250,-50,1350,50,2000,700,5.68,8.42,🟢 Strong,52050,10,8,4,55.4,172.9,473.0,11.1,17.3,23.6,347413,142037,89987,-6000,6000,84000,14604,75383,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/976
Pangsapuri Cengal Cheras,Cheras,Cegal Cheras,Apartment,3,1.0,880,Leasehold,340000,1550,1500,-50,1800,250,2300,750,6.35,8.12,🟢 Strong,59200,9,6,4,62.9,186.0,500.4,12.6,18.6,25.0,414458,169315,110115,-6000,30000,90000,16843,93272,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.71/sqft, n=4) | Cheras | [Partial] Area PSF Avg, Strata all sizes (RM2.05/sqft, n=15) | Cheras | [Fully] Area PSF Avg, Strata all sizes (RM2.64/sqft, n=23) | Cheras",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/317
Cahaya Permai Apartments,Seri Kembangan,Putra Permai,Apartment,3,2.0,868,Leasehold,310000,1414,850,-564,1000,-414,2450,1036,3.87,9.48,🟢 Strong,55300,,21,3,59.1,179.4,486.6,11.8,17.9,24.3,377888,154491,99191,-67680,-49680,124320,15621,83570,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.17/sqft, n=4) | Seri Kembangan | [Fully] Area PSF Avg, Strata all sizes (RM2.85/sqft, n=10) | Seri Kembangan | CORRECTED (audit 19/07/2026): Unfurnished 1350.0->850 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,MMN,https://telegram.me/HaniMNListingSubsale/41
Kenanga Point Condominium,Kuala Lumpur,Pudu,Condominium,3,2.0,860,Freehold,370000,1687,1600,-87,1700,13,2950,1263,5.51,9.57,🟢 Strong,63100,10,8,3,66.3,192.1,513.1,13.3,19.2,25.7,451028,184290,121190,-10440,1560,151560,18064,103126,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM3.45/sqft, n=3) | Pudu",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12919
Bayu Puteri Apartment,Petaling Jaya / Damansara,Tropicana,Apartment,3,2.0,850,Leasehold,350000,1596,1500,-96,1700,104,2050,454,5.83,7.03,🟢 Strong,60500,10,7,5,64.1,188.2,505.1,12.8,18.8,25.3,426648,174357,113857,-11520,12480,54480,17250,96607,[Partial] Exact - 1 listing(s) | Bayu Puteri Apartment | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11214
Grandeur Tower Apartment,Ampang,Pandan Indah,Apartment,3,2.0,962,Leasehold,350000,1596,1500,-96,2250,654,3200,1604,7.71,10.97,🟢 Strong,60500,10,5,3,64.1,188.2,505.1,12.8,18.8,25.3,426648,174357,113857,-11520,78480,192480,17250,96607,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12214
Villa Wangsamas,Kuala Lumpur,Wangsa Maju,Condominium,4,3.0,1267,Freehold,539000,2458,2350,-108,2550,92,3750,1292,5.68,8.35,🟢 Strong,85460,9,7,4,78.9,214.2,559.7,15.8,21.4,28.0,657038,268535,183075,-12960,11040,155040,24945,158130,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Zone PSF Avg, Strata all sizes (RM2.94/sqft, n=11) | Wangsa Maju",12/7/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/508
Residensi Putra Suria,Kuala Lumpur,"Bandar Sri Permaisuri, Cheras",Apartment,3,2.0,748,Leasehold,320000,1459,1350,-109,1500,41,2250,791,5.63,8.44,🟢 Strong,56600,10,8,4,60.3,181.6,491.2,12.1,18.2,24.6,390078,159382,102782,-13080,4920,94920,16029,86753,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",3/5/2026,EXP,https://telegram.me/extremeproperty_listing/17297
Vista Indah Putra,Klang,Taman Bayu Perdana,Apartment,3,2.0,870,Freehold,320000,1459,1000,-459,1150,-309,2200,741,4.31,8.25,🟢 Strong,56600,23,16,4,60.3,181.6,491.2,12.1,18.2,24.6,390078,159382,102782,-55080,-37080,88920,16029,86753,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.34/sqft, n=6) | Klang | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1350.0->1000 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",4/6/2026,EXP,https://telegram.me/extremeproperty_listing/18110
Tiara Duta Condominium,Ampang,Ampang,Condominium,3,2.0,998,Leasehold,365000,1664,1550,-114,2350,686,2800,1136,7.73,9.21,🟢 Strong,62450,10,4,3,65.7,191.1,511.0,13.1,19.1,25.6,444933,181769,119319,-13680,82320,136320,17861,101458,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Zone PSF Avg, Strata all sizes (RM2.80/sqft, n=3) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11288
City Garden Orchid Court Condominium,Ampang,Taman Nirwana,Condominium,3,2.0,1076,Leasehold,398000,1815,1700,-115,2550,735,3600,1785,7.69,10.85,🟢 Strong,66740,10,4,3,69.2,197.1,523.8,13.8,19.7,26.2,485160,198287,131547,-13800,88200,214200,19204,112343,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Area PSF Avg, Strata all sizes (RM3.33/sqft, n=20) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11362
Baiduri Apartment,Kuala Lumpur,Desa Pandan,Apartment,3,2.0,950,Leasehold,410000,1870,1750,-120,1900,30,2850,980,5.56,8.34,🟢 Strong,68300,10,8,4,70.3,199.1,528.1,14.1,19.9,26.4,499788,204308,136008,-14400,3600,117600,19693,116315,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/7840
